"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.2208159257674e-77,0.363686206430341,0.387,0.268,1.90406733855889e-72,"0","SIGIRR"
2.73018043098498e-76,0.295136020141276,0.625,0.481,8.35653626315884e-72,"0","CUTA"
2.97509188397751e-76,0.286977769872286,0.481,0.35,9.10616123847836e-72,"0","RESF1"
6.07191321400341e-74,0.35830502383518,0.558,0.436,1.85849119654216e-69,"0","TOMM20"
6.9515143280433e-72,0.402572995664609,0.479,0.365,2.12771950552749e-67,"0","PHB2"
1.68014224919878e-71,0.444090165669604,0.336,0.234,5.14257939634763e-67,"0","TMEM243"
4.62040061106282e-71,0.431369564392704,0.299,0.199,1.41421221903411e-66,"0","FLI1"
1.60447501606188e-70,0.544604451677188,0.276,0.185,4.91097712916219e-66,"0","ESD"
7.53526783882501e-70,0.320016681610208,0.458,0.341,2.30639478010756e-65,"0","GCC2"
5.46777578154133e-69,0.442491770146261,0.323,0.223,1.67357681121417e-64,"0","CNOT7"
6.3423571887889e-69,0.484140151915495,0.263,0.174,1.94126868834451e-64,"0","NSMCE1"
8.51258457247116e-69,0.42563711788369,0.431,0.324,2.60553188594197e-64,"0","ALKBH7"
1.90519254475899e-68,0.26272838174351,0.588,0.457,5.83141334099831e-64,"0","NAP1L1"
4.56683941356013e-68,0.253543446850963,0.811,0.691,1.39781820770248e-63,"0","PCBP2"
9.18136804718979e-66,0.309167219576405,0.335,0.226,2.81023313188385e-61,"0","CYFIP2"
5.90637032229383e-65,0.349059869009004,0.46,0.348,1.80782182824769e-60,"0","SRP9"
1.33974299915617e-63,0.37614549344261,0.408,0.304,4.10068537181722e-59,"0","TNFRSF14"
1.28126084545078e-62,0.54559799947898,0.272,0.186,3.92168319575574e-58,"0","PYCR2"
3.13680577882924e-62,0.380858431070321,0.33,0.23,9.60113512784054e-58,"0","DEF6"
2.38696223221917e-61,0.278413777716624,0.468,0.35,7.30601400037643e-57,"0","C9orf78"
3.53983243568213e-60,0.253249742505283,0.559,0.43,1.08347191191359e-55,"0","ICAM3"
4.32343528882782e-58,0.318558583340171,0.418,0.311,1.32331707320442e-53,"0","SHISA5"
3.7474181102847e-57,0.360604724340072,0.277,0.188,1.14700973519594e-52,"0","DNMT1"
7.74702383647709e-57,0.293050394878114,0.322,0.224,2.37120905586891e-52,"0","RHOF"
6.03673962024687e-56,0.372485771458683,0.288,0.2,1.84772526296516e-51,"0","MRFAP1L1"
3.65712025038396e-55,0.317613129546962,0.402,0.303,1.11937136623752e-50,"0","PYURF"
1.75972795882465e-54,0.421378595673978,0.359,0.27,5.38617533637049e-50,"0","IGBP1"
1.34097541391667e-53,0.33716117475313,0.456,0.357,4.10445754691613e-49,"0","COX7A2L"
1.77318378736115e-53,0.350901152224283,0.296,0.207,5.42736093635502e-49,"0","SYTL1"
3.77645153031912e-53,0.269599154343119,0.317,0.223,1.15589628440008e-48,"0","STK38"
5.98735049573216e-51,0.428501075690909,0.333,0.249,1.8326082397337e-46,"0","LSM5"
